o,tube_stops_o,car_prob_o
"121.62,31.10",0,400
"121.12,31.14",0,1
"113.61,23.15",0,162
"113.41,23.36",0,0
"121.65,30.92",0,0
"121.28,31.10",0,51
"113.46,23.09",0,95
"121.09,30.88",0,400
"121.20,31.36",0,148
"113.42,23.01",0,34
"121.47,31.16",0,56
"121.79,31.08",0,56
"113.30,23.32",0,236
"121.05,31.02",0,24
"113.76,23.39",0,95
"121.57,30.89",0,10
"113.44,22.94",0,5
"121.84,31.06",0,86
"113.60,23.20",0,24
"121.17,31.14",0,46
"121.70,31.54",0,22
"113.15,23.48",0,86
"113.58,23.14",0,22
"121.72,30.95",0,12
"121.55,31.05",0,148
"113.57,22.65",0,24
"113.41,22.88",0,27
"121.10,31.24",0,10
"121.56,31.39",0,400
"121.16,30.88",0,294
"121.45,31.38",0,69
"113.44,23.45",0,30
"113.40,22.87",0,68
"121.82,31.14",0,202
"113.31,23.24",0,9
"121.82,31.46",0,5
"121.14,31.11",0,10
"121.26,31.04",0,5
"121.14,31.20",0,158
"113.33,22.91",0,42
"113.47,22.81",0,114
"121.56,31.57",0,11
"121.46,31.42",0,9
"113.25,23.31",0,367
"113.81,23.30",0,162
"113.82,23.25",0,116
"113.77,23.28",0,347
"113.61,23.30",0,162
"113.54,22.65",0,0
"114.39,22.61",0,220
"113.76,23.28",0,162
"113.30,23.31",0,241
"121.13,31.13",0,33
"113.36,23.24",0,234
"113.43,22.90",0,63
"121.24,31.22",0,142
"113.34,23.49",0,1
"113.97,22.71",0,0
"121.45,30.90",0,171
"113.30,22.93",0,38
"121.43,30.97",0,63
"113.92,22.76",0,400
"121.50,31.37",0,78
"121.16,31.17",0,400
"121.35,31.46",0,153
"121.07,30.86",0,56
"121.44,30.94",1,79
"113.54,23.19",0,4
"121.78,31.02",0,145
"113.70,23.18",0,0
"121.23,31.43",0,153
"120.91,31.04",0,12
"113.17,23.37",0,55
"121.66,31.11",0,13
"113.40,23.27",0,15
"113.39,23.15",0,90
"121.47,30.98",0,13
"113.31,23.36",0,178
"120.91,31.06",0,53
"113.56,22.75",0,243
"114.31,22.76",0,39
"121.15,31.13",0,22
"113.69,23.62",0,0
"113.62,23.17",0,0
"121.57,31.05",0,34
"113.45,22.97",0,243
"121.35,31.48",0,400
"121.14,31.00",0,64
"121.56,30.89",0,37
"113.41,22.98",0,23
"113.27,23.40",0,178
"121.20,31.00",0,9
"113.81,23.19",0,3
"113.58,23.56",0,4
"113.55,22.79",0,167
"121.64,31.32",0,344
"113.44,23.40",1,275
"114.34,22.61",0,400
"121.86,30.93",0,198
"121.29,31.38",0,103
"113.52,23.25",0,0
"121.87,30.88",0,9
"113.84,22.57",0,88
"121.64,31.30",0,63
"121.66,31.32",0,400
"121.24,31.30",0,400
"121.78,31.17",0,29
"113.52,22.93",0,7
"114.05,22.50",0,124
"113.61,23.36",0,117
"121.61,31.09",0,256
"121.14,31.04",0,17
"121.80,31.04",0,9
"113.84,23.30",0,13
"113.80,22.79",0,400
"121.54,31.10",0,103
"121.73,31.15",0,305
"113.17,23.47",0,400
"121.54,31.04",0,16
"113.64,23.15",0,52
"121.25,31.15",0,145
"121.51,31.00",0,11
"121.69,31.23",0,180
"121.82,31.13",0,118
"113.22,23.30",0,400
"121.85,30.91",0,231
"113.16,23.44",0,215
"113.60,23.15",0,19
"113.42,22.99",0,26
"113.84,23.25",0,1
"121.25,31.32",0,19
"121.48,30.95",0,17
"113.52,23.19",0,68
"121.18,31.36",0,118
"121.57,31.09",0,383
"113.83,23.28",0,167
"121.23,31.28",0,148
"121.20,31.14",0,400
"121.75,30.87",0,27
"121.65,31.07",0,400
"121.63,30.86",0,400
"113.29,23.50",0,2
"121.77,30.99",0,0
"113.36,23.44",0,113
"121.29,30.94",0,73
"113.76,23.63",0,5
"121.29,31.06",0,6
"113.79,22.63",0,170
"121.66,31.41",0,36
"113.50,23.42",0,241
"114.03,22.51",0,10
"113.21,23.33",0,365
"113.48,23.33",0,178
"114.28,22.65",0,30
"113.54,23.16",0,14
"121.67,31.11",0,180
"113.51,23.18",0,167
"121.18,31.19",0,47
"121.24,31.46",0,44
"113.54,23.57",0,1
"120.91,31.12",0,74
"113.26,23.27",0,11
"121.23,31.14",0,180
"121.13,31.23",0,60
"113.39,22.90",0,1
"121.30,31.11",0,125
"113.67,23.61",0,93
"113.42,22.90",0,55
"114.23,22.57",0,138
"113.18,23.15",0,26
"121.42,30.92",0,11
"121.56,31.37",0,2
"113.26,23.34",0,93
"121.64,31.31",0,2
"113.85,23.25",0,116
"114.07,22.61",0,222
"113.23,23.48",0,77
"121.37,30.73",0,30
"121.05,31.07",0,103
"121.34,31.07",0,148
"121.69,31.15",0,400
"121.00,31.10",0,16
"113.33,22.84",0,3
"121.38,31.45",0,294
"121.19,30.81",0,63
"120.92,31.12",0,180
"113.34,23.26",0,29
"121.17,31.17",0,10
"113.28,23.41",0,90
"114.36,22.66",0,0
"113.39,22.88",0,201
"121.35,30.99",0,35
"113.34,22.90",0,30
"121.10,30.98",0,383
"121.52,30.95",0,22
"121.06,31.00",0,48
"121.11,30.94",0,37
"121.12,30.98",0,103
"121.79,31.10",0,88
"114.24,22.61",0,239
"121.45,30.97",0,26
"121.31,31.43",0,85
"121.43,31.08",0,45
"121.38,31.43",0,170
"121.70,31.27",0,14
"121.70,31.39",0,25
"113.59,22.24",0,120
"114.48,22.57",0,154
"113.38,23.33",0,69
"121.59,31.11",0,231
"121.47,31.09",0,29
"121.86,30.99",0,147
"121.27,31.16",0,99
"121.43,30.94",0,95
"121.64,31.16",0,232
"113.10,23.33",0,9
"113.67,23.21",0,243
"113.31,22.92",0,26
"121.74,31.13",0,400
"113.86,23.21",0,90
"121.73,31.11",0,400
"121.36,31.42",0,187
"113.96,22.64",0,61
"121.75,31.44",0,56
"121.15,31.00",0,29
"121.25,31.30",0,19
"113.49,23.01",0,3
"113.69,23.28",0,59
"113.57,23.55",0,104
"120.93,31.02",0,136
"121.20,31.07",0,66
"113.45,23.45",0,39
"121.25,30.99",0,12
"121.84,30.87",0,19
"121.80,30.87",0,123
"121.68,31.29",0,23
"121.64,31.15",0,180
"121.26,31.40",0,17
"121.32,31.33",0,0
"113.40,23.34",0,123
"121.75,30.99",0,199
"121.17,31.05",0,1
"121.27,31.10",0,164
"113.63,23.18",0,243
"113.38,23.35",0,247
"113.41,22.97",0,128
"113.21,23.25",0,167
"113.69,23.69",0,63
"113.45,23.61",0,87
"113.64,22.42",0,182
"121.19,31.35",0,6
"113.41,23.01",0,41
"121.76,30.98",0,190
"113.50,22.85",0,241
"121.04,31.10",1,60
"121.36,31.40",0,25
"121.36,31.48",0,400
"121.35,30.72",0,21
"121.49,30.94",0,153
"113.56,23.21",0,375
"121.17,30.90",0,148
"121.73,31.18",0,4
"113.75,23.15",0,236
"113.77,22.74",0,10
"121.83,31.09",0,112
"113.90,23.47",0,2
"121.26,30.94",0,6
"113.28,23.47",0,13
"121.75,31.00",0,400
"113.31,22.90",0,223
"113.43,22.75",0,27
"121.60,30.91",0,231
"121.21,30.84",0,3
"113.29,22.93",0,400
"121.58,31.23",0,25
"121.43,31.63",0,99
"121.15,31.35",0,51
"121.49,31.05",0,31
"121.21,30.94",0,24
"121.10,30.90",0,73
"121.21,31.20",0,18
"113.37,23.38",0,34
"121.41,30.87",0,103
"121.82,30.86",0,4
"113.46,23.05",0,90
"121.28,30.75",0,41
"113.57,23.53",0,10
"121.95,30.90",0,14
"113.18,23.29",0,215
"121.39,31.40",0,171
"121.56,31.10",0,163
"113.45,22.85",0,87
"113.42,22.91",0,147
"121.29,30.85",0,64
"113.89,22.70",0,44
"121.30,31.00",0,4
"113.26,23.35",0,55
"121.37,31.05",0,11
"121.70,31.06",0,148
"113.62,23.53",0,1
"121.73,31.09",0,25
"114.29,22.68",0,400
"121.17,30.83",0,27
"113.51,22.81",0,23
"113.81,22.60",0,122
"121.47,30.95",0,92
"121.46,31.03",0,23
"113.73,22.29",0,376
"113.35,22.84",0,9
"113.43,23.02",0,46
"113.74,23.62",0,7
"113.47,23.40",0,347
"113.67,23.18",0,14
"121.80,30.92",0,67
"121.17,31.30",0,148
"113.49,23.28",0,174
"113.77,23.64",0,8
"113.66,23.23",0,1
"121.78,30.99",0,9
"113.63,22.62",0,1
"113.11,23.33",0,33
"121.36,31.34",0,49
"121.62,31.35",0,231
"113.26,22.95",0,217
"113.88,23.22",0,173
"121.27,31.45",0,21
"113.56,23.14",0,31
"113.16,23.48",0,18
"113.82,22.80",0,39
"121.26,31.21",0,400
"113.83,22.66",0,7
"113.49,22.96",0,10
"121.20,31.17",0,34
"121.50,30.94",0,400
"114.19,22.61",0,4
"113.94,22.78",0,382
"121.04,31.15",0,400
"113.45,23.00",0,9
"121.53,31.12",0,39
"121.57,31.33",0,44
"113.87,22.84",0,103
"121.10,31.21",0,52
"113.89,22.75",0,55
"121.32,30.72",0,57
"121.63,31.10",0,225
"113.70,23.72",0,2
"121.21,31.11",0,310
"121.39,30.97",0,176
"121.58,30.88",0,231
"121.92,30.86",0,14
"114.23,22.67",0,0
"113.38,23.38",0,290
"121.66,31.30",0,40
"113.79,23.23",0,31
"121.41,30.92",0,400
"113.60,23.32",0,76
"121.64,31.20",0,148
"113.73,23.47",0,45
"121.25,30.96",0,17
"121.33,31.38",0,21
"121.15,31.02",0,20
"121.47,31.63",0,21
"113.57,23.23",0,369
"121.63,31.11",0,76
"121.04,31.08",0,102
"121.53,30.89",0,29
"113.48,23.38",0,1
"113.50,23.00",0,10
"113.23,23.42",0,8
"113.19,23.49",0,31
"121.00,31.11",0,14
"113.51,22.84",0,75
"113.50,23.37",1,4
"121.62,31.08",0,400
"121.26,31.27",0,7
"113.62,22.63",0,6
"121.72,31.08",0,163
"121.24,31.25",0,400
"121.48,31.13",0,148
"113.67,22.50",0,353
"121.58,31.57",0,72
"121.47,30.88",0,16
"113.08,23.40",0,75
"113.16,23.42",0,17
"121.80,30.86",0,1
"114.50,22.60",0,12
"121.71,31.53",0,17
"121.42,31.07",0,6
"113.95,22.71",0,222
"121.13,31.22",0,7
"121.73,31.07",0,294
"113.54,22.85",0,88
"113.92,23.49",0,41
"121.21,31.44",0,110
"113.19,23.39",0,275
"121.29,31.26",0,48
"113.53,22.85",0,162
"113.42,22.92",0,23
"113.65,23.20",0,36
"121.72,31.20",0,16
"113.41,23.66",0,95
"121.74,31.22",0,400
"121.32,31.44",0,6
"113.91,22.79",0,324
"121.71,30.87",0,171
"113.45,22.98",0,152
"113.73,23.18",0,252
"113.87,23.23",0,105
"113.75,23.28",0,110
"113.29,23.00",0,41
"114.34,22.80",0,5
"121.36,31.31",0,35
"121.78,31.13",0,15
"113.31,22.93",0,223
"121.79,30.90",0,60
"121.52,30.91",0,14
"113.66,23.64",0,147
"113.47,22.79",0,243
"114.15,22.67",0,0
"113.42,23.44",0,243
"121.67,30.86",0,383
"114.18,22.60",0,205
"121.21,31.26",0,108
"121.58,31.02",0,1
"121.27,31.30",0,400
"121.08,31.11",0,400
"121.03,31.11",0,73
"121.83,30.91",0,400
"121.72,31.16",0,148
"121.42,30.94",0,48
"121.64,30.97",0,121
"113.59,22.34",0,182
"121.75,31.23",0,99
"113.49,23.10",0,215
"113.83,23.31",0,17
"113.54,22.72",0,223
"121.18,31.23",0,170
"121.57,31.04",0,47
"113.64,23.53",0,173
"121.61,31.54",0,12
"121.58,30.86",0,12
"113.79,23.41",0,91
"113.82,23.15",0,50
"113.51,22.98",0,14
"121.74,31.37",0,400
"113.83,23.26",0,31
"113.60,22.65",0,1
"114.08,22.74",0,93
"121.70,31.04",0,40
"113.50,22.92",0,11
"113.42,23.31",0,400
"113.07,23.38",0,13
"121.38,31.37",0,190
"114.36,22.77",0,120
"114.27,22.76",0,194
"113.77,23.57",0,4
"113.50,23.21",0,117
"121.08,31.22",0,231
"121.70,31.08",0,1
"121.26,30.91",0,21
"121.19,31.38",0,102
"121.48,31.39",0,56
"121.38,31.02",0,400
"121.37,31.01",0,44
"121.75,31.19",0,294
"121.08,30.96",0,39
"113.82,23.21",0,88
"113.85,22.64",0,1
"121.27,31.75",0,42
"121.14,31.23",0,4
"113.14,23.40",0,261
"121.50,30.90",0,374
"121.85,31.51",0,127
"121.59,31.36",0,17
"113.40,23.23",0,88
"113.65,23.57",0,247
"121.37,30.96",0,42
"121.54,31.14",0,58
"121.24,30.95",0,400
"121.07,31.03",0,60
"121.26,31.15",0,395
"113.24,23.23",0,17
"113.91,22.60",0,58
"121.77,30.95",0,6
"121.70,31.15",0,102
"113.36,23.07",0,75
"113.78,23.42",0,51
"121.20,31.08",0,142
"120.97,31.09",0,7
"113.49,22.74",0,56
"114.15,22.54",0,166
"113.53,23.59",0,0
"113.50,23.43",0,41
"113.47,22.99",0,0
"121.76,31.00",0,115
"121.42,31.10",0,400
"113.48,22.81",0,3
"121.55,31.37",0,7
"114.28,22.64",0,138
"113.88,22.76",0,2
"113.38,23.36",0,2
"113.55,23.28",0,169
"113.61,23.18",0,13
"121.41,31.48",0,400
"121.90,30.95",0,73
"121.24,31.43",0,253
"113.37,23.29",0,27
"121.16,31.25",0,56
"113.39,22.83",0,7
"121.74,31.24",0,0
"113.66,23.19",0,6
"121.52,31.02",0,285
"113.60,23.24",0,87
"121.18,31.35",0,100
"121.46,31.07",0,29
"121.36,31.73",0,20
"113.18,23.24",0,57
"121.12,31.19",0,27
"113.46,22.85",0,1
"113.30,23.43",0,35
"121.22,30.98",0,83
"114.04,22.59",0,55
"121.53,31.11",0,32
"113.81,23.26",0,243
"121.34,31.33",0,94
"121.24,30.98",0,11
"113.57,22.81",0,88
"113.41,23.39",0,3
"121.04,31.11",0,80
"121.67,30.88",0,400
"121.50,30.95",0,12
"114.31,22.79",0,1
"113.54,22.90",0,211
"121.26,31.23",0,86
"121.18,30.83",0,38
"113.43,23.01",0,88
"121.13,31.21",0,9
"113.79,22.65",1,267
"113.78,23.29",0,14
"121.65,31.56",0,21
"121.26,30.80",0,103
"121.78,31.55",0,9
"114.49,22.65",0,261
"121.87,30.90",0,17
"121.34,31.48",0,400
"113.95,22.81",0,360
"121.35,31.34",0,0
"113.51,23.36",0,173
"113.28,22.95",0,163
"121.83,30.88",0,11
"113.53,23.60",0,12
"121.15,31.33",0,4
"121.73,31.00",0,46
"113.39,23.35",0,3
"113.66,23.18",0,65
"113.57,23.30",0,0
"113.33,23.24",0,397
"121.41,31.41",0,100
"113.71,23.26",0,105
"121.33,30.90",0,85
"113.61,23.20",0,10
"121.38,31.63",0,266
"121.20,31.24",0,148
"121.39,30.98",0,231
"113.70,23.19",0,289
"121.08,30.90",0,62
"121.64,30.99",0,23
"113.79,23.20",0,243
"113.34,22.83",0,106
"121.40,30.91",0,19
"113.56,22.80",0,104
"113.11,23.47",0,290
"113.64,23.11",0,65
"121.65,31.31",0,65
"121.71,31.15",0,148
"114.57,22.50",0,9
"121.71,31.22",0,145
"121.09,31.29",0,102
"113.51,23.10",0,27
"121.50,30.86",0,66
"121.16,31.00",0,4
"121.77,31.01",0,17
"121.17,31.01",0,4
"113.79,22.66",0,133
"121.39,31.68",0,25
"113.27,23.48",0,64
"113.67,23.65",0,29
"113.41,22.86",0,243
"113.65,23.18",0,123
"113.43,23.43",0,326
"121.34,31.36",0,7
"121.10,31.14",0,17
"113.44,22.99",0,37
"121.79,31.00",0,9
"113.55,23.50",0,19
"121.41,31.35",0,9
"113.46,23.64",0,400
"113.38,22.88",0,400
"121.79,31.50",0,55
"121.70,31.55",0,170
"121.35,31.06",0,29
"121.97,30.89",0,5
"121.59,31.58",0,2
"113.45,23.27",0,88
"113.46,23.59",0,88
"113.48,23.45",0,10
"113.49,22.78",0,42
"113.35,23.36",0,21
"121.60,31.09",0,96
"121.31,31.03",0,192
"113.83,23.37",0,114
"113.87,22.65",0,89
"113.95,23.84",0,1
"121.54,31.11",0,344
"113.90,22.50",0,17
"113.41,23.35",0,54
"113.44,23.07",0,88
"113.97,22.61",0,163
"114.48,22.52",0,400
"121.84,31.53",0,26
"121.29,30.87",0,2
"113.54,22.71",0,47
"121.35,31.38",0,46
"113.31,23.32",0,356
"121.79,30.92",0,39
"113.42,23.15",0,52
"121.72,31.04",0,56
"121.35,30.85",0,110
"113.43,23.23",0,3
"113.57,23.50",0,6
"113.77,23.49",0,109
"121.58,30.99",0,231
"113.43,22.89",0,24
"121.30,31.51",0,13
"121.66,31.52",0,103
"121.39,31.64",0,7
"121.07,31.15",0,285
"121.49,31.72",0,2
"121.20,31.25",0,1
"113.34,22.88",0,55
"113.40,23.46",0,0
"121.52,31.04",0,36
"121.36,31.33",0,40
"113.11,23.46",0,29
"121.23,31.16",0,13
"113.09,23.34",0,66
"121.86,31.50",0,67
"121.01,30.94",0,34
"113.67,23.22",0,243
"121.59,30.98",0,148
"113.52,23.18",0,8
"113.45,23.25",0,344
"121.18,31.37",0,7
"121.29,31.09",0,170
"121.28,30.80",0,4
"114.04,22.58",0,4
"121.24,30.90",0,11
"113.71,23.27",0,9
"121.64,31.14",0,231
"121.45,30.82",0,148
"113.23,23.46",0,117
"121.08,30.86",0,79
"121.60,31.52",0,77
"113.57,23.58",0,64
"121.68,31.30",0,52
"121.04,31.00",0,55
"121.61,31.62",0,148
"121.70,31.11",0,55
"113.92,22.81",0,103
"121.19,31.09",0,12
"121.62,31.23",0,400
"121.81,31.12",0,103
"121.64,31.19",0,400
"113.65,23.22",0,120
"121.29,30.74",0,74
"121.73,31.14",0,5
"113.41,23.41",0,2
"121.29,30.78",0,46
"113.29,23.55",0,215
"113.53,23.26",0,400
"121.80,31.10",0,112
"113.53,22.84",0,0
"113.57,23.59",0,109
"121.39,30.81",0,22
"121.34,31.81",0,22
"113.93,22.81",0,400
"113.85,22.66",0,376
"121.30,31.48",0,400
"121.58,31.05",0,69
"113.05,23.45",0,98
"113.66,22.65",0,59
"113.92,22.61",0,0
"120.98,31.05",0,4
"121.17,31.20",0,247
"113.32,23.37",0,105
"114.00,22.63",0,74
"121.36,31.43",0,148
"121.31,31.36",0,153
"121.54,30.93",0,192
"121.58,31.36",0,400
"121.24,31.24",0,12
"113.87,23.28",0,14
"113.84,22.83",0,0
"113.96,22.79",0,16
"121.37,30.80",0,231
"121.65,31.41",0,48
"121.65,31.10",0,4
"121.17,31.07",0,22
"113.42,23.26",0,41
"113.79,23.29",0,31
"113.86,22.39",0,120
"113.54,22.82",0,347
"121.71,31.38",0,172
"121.20,31.11",0,400
"113.52,23.57",0,104
"121.27,30.97",0,60
"121.56,30.86",0,49
"113.59,23.10",0,40
"121.18,31.06",0,104
"121.25,30.79",0,400
"121.24,30.99",0,73
"121.06,31.12",0,47
"121.14,31.19",0,373
"121.00,31.02",0,22
"121.09,30.95",0,338
"121.16,31.15",0,83
"121.04,31.13",0,1
"121.68,31.15",0,121
"114.34,22.60",0,58
"113.82,23.33",0,105
"113.28,23.37",0,347
"121.77,31.13",0,76
"113.85,23.28",0,2
"121.18,31.24",0,107
"121.46,30.79",0,148
"114.41,22.61",0,7
"121.41,31.68",0,60
"113.28,23.32",0,45
"113.33,23.33",0,38
"113.79,23.53",0,5
"113.85,22.70",0,124
"121.33,31.49",0,230
"121.46,31.60",0,103
"114.08,22.59",0,381
"121.80,31.47",0,168
"113.78,23.57",0,2
"114.49,22.56",0,326
"121.65,31.08",0,24
"113.38,22.87",0,75
"121.70,31.21",0,130
"121.81,31.13",0,27
"121.13,31.28",0,163
"121.50,30.97",0,400
"114.51,22.54",0,43
"113.65,23.65",0,55
"121.32,30.83",0,148
"121.26,30.86",0,38
"113.80,23.18",0,4
"113.58,22.76",0,104
"121.34,31.75",0,103
"113.76,23.25",0,174
"121.71,31.27",0,400
"121.63,31.15",0,148
"121.11,31.17",0,24
"121.34,31.69",0,22
"114.34,22.76",0,400
"121.68,31.39",0,14
"113.67,22.63",0,105
"114.02,22.59",0,103
"113.78,23.56",0,50
"121.28,31.43",0,0
"121.28,30.90",0,44
"113.30,22.89",0,215
"113.47,23.14",0,22
"113.13,23.35",0,0
"121.46,31.14",0,53
"113.26,23.46",0,11
"113.46,23.62",0,123
"121.33,30.85",0,10
"113.60,22.67",0,11
"113.81,23.23",0,17
"121.18,31.07",0,41
"121.20,31.32",0,18
"121.11,31.22",0,387
"121.75,31.13",0,62
"121.29,31.41",0,85
"121.87,30.98",0,29
"121.07,31.08",0,103
"113.44,23.21",0,88
"113.46,23.21",0,1
"113.55,23.27",0,88
"121.50,30.89",0,178
"113.44,22.89",0,7
"121.51,30.91",0,25
"114.09,22.62",0,69
"121.53,30.91",0,257
"121.02,30.97",0,0
"113.10,23.32",0,243
"121.43,30.98",0,38
"121.45,30.99",0,103
"113.78,23.17",0,236
"113.35,22.86",0,61
"113.32,22.86",0,47
"121.74,31.14",0,45
"121.69,31.03",0,90
"113.43,22.98",0,38
"121.23,31.73",0,163
"121.32,31.49",0,98
"121.86,30.89",0,4
"113.18,23.23",0,35
"121.78,31.10",0,0
"121.34,30.88",0,325
"121.19,31.00",0,136
"121.39,31.04",0,22
"113.85,22.68",0,75
"121.56,30.88",0,148
"121.66,31.07",0,53
"121.67,31.04",0,19
"121.36,31.46",0,78
"121.80,31.05",0,1
"121.21,31.07",0,67
"113.50,22.74",0,115
"121.82,31.07",0,170
"121.80,31.09",0,9
"113.34,23.35",0,25
"121.22,31.07",0,35
"113.20,23.05",0,2
"121.08,31.20",0,81
"121.31,31.38",0,16
"113.40,22.98",0,16
"113.28,23.38",0,213
"121.58,31.63",0,103
"113.56,22.74",0,18
"113.57,23.56",0,55
"113.42,22.97",0,75
"113.39,23.33",0,4
"121.07,30.94",0,400
"113.48,23.31",0,64
"113.94,22.64",0,297
"121.13,31.02",0,100
"121.64,31.26",0,244
"114.36,22.62",0,68
"121.66,31.08",0,294
"121.35,31.44",0,0
"121.62,30.93",0,0
"121.08,31.29",0,9
"113.33,22.83",0,0
"121.35,30.71",0,148
"121.08,30.93",0,48
"121.79,31.51",0,231
"113.52,22.78",0,329
"121.10,31.26",0,118
"121.15,30.82",0,9
"121.53,31.10",0,3
"121.72,31.17",0,154
"121.19,30.97",0,33
"113.52,22.72",0,75
"113.85,23.20",0,13
"113.65,22.70",0,1
"113.91,23.44",0,36
"113.45,22.82",0,10
"121.62,30.92",0,257
"121.80,30.89",0,320
"121.57,30.90",0,103
"113.61,23.17",0,37
"121.27,31.34",0,294
"113.62,22.76",0,36
"113.41,23.37",0,17
"113.89,22.83",0,4
"113.77,23.20",0,243
"121.51,30.83",0,102
"113.12,23.33",0,4
"113.54,23.49",0,1
"121.28,31.18",0,96
"121.29,31.11",0,31
"113.54,22.84",0,105
"113.68,23.19",0,14
"121.26,30.79",0,36
"114.28,22.62",0,10
"121.17,31.03",0,48
"121.11,31.21",0,148
"121.84,30.86",0,0
"113.41,22.92",0,344
"121.37,31.46",0,28
"121.56,30.84",0,60
"121.57,31.60",0,56
"113.48,23.07",0,65
"113.59,22.78",0,215
"113.21,23.19",0,88
"113.44,23.43",0,173
"121.73,30.91",0,20
"113.66,23.21",0,40
"113.45,23.31",0,16
"121.31,31.48",0,25
"121.51,31.41",0,258
"113.58,23.31",0,0
"121.30,31.12",0,54
"121.19,31.24",0,24
"113.26,23.41",0,16
"114.52,22.55",0,11
"113.46,23.06",0,19
"121.23,31.45",0,22
"113.78,23.40",0,41
"113.96,22.63",0,120
"113.03,23.45",0,6
"114.45,22.63",0,0
"113.60,23.17",0,101
"113.34,23.28",0,152
"114.01,22.76",0,5
"113.63,23.31",0,8
"113.61,23.51",0,375
"113.52,22.83",0,32
"121.33,30.77",0,220
"113.33,23.47",0,18
"121.60,31.35",0,15
"113.35,23.23",0,35
"120.90,31.12",0,6
"121.23,31.81",0,60
"113.12,23.48",0,243
"113.33,23.41",0,8
"113.26,23.45",0,400
"113.62,23.34",0,13
"121.17,30.99",0,29
"113.10,23.35",0,36
"121.23,30.84",0,5
"121.54,30.83",0,38
"114.26,22.66",0,124
"113.30,23.47",0,4
"121.53,30.85",0,95
"121.57,31.37",0,100
"113.28,22.92",0,97
"121.19,30.98",0,148
"121.12,30.91",0,148
"121.19,31.27",0,39
"113.88,22.66",0,38
"113.64,23.63",0,17
"121.21,31.39",0,46
"113.47,23.06",0,5
"121.73,31.03",0,118
"121.17,31.39",0,74
"114.23,22.63",0,140
"121.28,31.28",0,11
"113.36,22.84",0,11
"121.07,31.21",0,400
"113.02,23.45",0,13
"121.72,31.25",0,43
"121.18,31.12",0,4
"113.49,22.82",0,29
"121.73,30.89",0,36
"121.41,31.33",0,98
"113.82,23.42",0,88
"113.85,22.41",0,120
"121.20,31.45",0,103
"121.39,31.45",0,148
"121.52,30.94",0,5
"121.16,31.07",0,256
"113.53,23.41",0,41
"121.48,31.67",0,21
"113.77,23.18",0,243
"113.25,23.43",0,22
"113.23,23.32",0,0
"121.23,31.13",0,256
"121.28,31.27",0,53
"113.77,23.29",0,243
"113.64,22.70",0,75
"121.70,30.94",0,65
"113.70,22.60",0,294
"121.54,31.65",0,45
"113.45,23.42",0,17
"113.20,23.31",0,48
"121.21,30.98",0,59
"121.26,30.99",0,62
"121.63,31.09",0,57
"113.49,22.71",0,16
"121.20,30.88",0,37
"113.27,23.37",0,1
"121.57,31.57",0,2
"121.07,31.10",0,53
"113.26,23.31",0,77
"121.41,31.65",0,21
"113.36,23.28",0,8
"121.27,30.96",0,285
"113.28,23.52",0,16
"121.53,30.90",0,9
"121.83,31.34",0,24
"113.42,23.03",0,29
"114.40,22.78",0,52
"113.53,22.89",0,35
"113.68,23.28",0,23
"113.48,23.03",0,400
"121.23,31.41",0,128
"121.66,30.91",0,121
"121.24,31.15",0,5
"121.42,31.45",0,158
"121.36,30.82",0,16
"121.23,31.29",0,21
"121.39,31.43",0,21
"121.71,30.98",0,25
"121.80,30.98",0,5
"121.09,30.99",0,9
"113.40,23.35",0,4
"114.49,22.53",0,1
"121.84,30.96",0,4
"113.12,23.45",0,152
"113.47,23.48",0,11
"121.01,31.11",0,96
"121.06,30.93",0,231
"113.52,22.87",0,241
"113.63,23.11",0,151
"113.43,22.99",0,114
"113.34,23.36",0,173
"121.17,31.25",0,119
"113.45,23.63",0,400
"113.66,23.14",0,400
"114.23,22.58",0,326
"121.22,30.79",0,62
"113.37,23.34",0,123
"113.76,23.57",0,0
"121.78,31.11",0,189
"121.84,30.95",0,8
"113.46,23.44",0,8
"113.39,22.80",0,4
"121.22,31.81",0,361
"113.65,23.62",0,4
"121.28,31.24",0,55
"121.71,31.26",0,8
"121.02,31.12",0,48
"121.13,31.32",0,59
"121.32,31.41",0,190
"121.70,31.14",0,230
"113.59,23.20",0,162
"121.46,31.38",0,225
"121.14,30.92",0,400
"121.23,31.27",0,122
"121.01,30.92",0,161
"121.50,31.02",0,400
"121.82,30.97",0,143
"121.45,31.44",0,114
"121.00,31.06",0,1
"113.20,23.30",0,239
"121.48,31.06",0,12
"113.10,23.49",0,113
"113.54,22.86",0,14
"121.14,31.21",0,232
"121.63,31.04",0,1
"114.33,22.73",0,108
"113.47,22.87",0,3
"121.59,31.00",0,10
"121.29,31.82",0,56
"113.47,23.54",0,30
"113.79,23.26",0,375
"121.40,31.39",0,17
"114.29,22.81",0,70
"121.09,31.22",0,148
"121.60,30.99",0,163
"121.29,30.80",0,7
"121.32,31.32",0,48
"121.86,31.02",0,45
"113.39,22.82",0,68
"113.47,23.01",0,3
"113.06,23.33",0,18
"114.48,22.64",0,24
"121.56,31.06",0,33
"121.89,30.91",0,383
"113.88,22.71",0,10
"121.42,31.78",0,21
"121.06,30.94",0,148
"113.73,23.72",0,4
"113.59,22.26",0,3
"121.28,31.14",0,202
"121.31,31.44",0,5
"121.03,30.89",0,113
"121.77,31.10",0,199
"121.80,30.97",0,24
"113.27,23.03",0,236
